姓名,守備位置,所屬球隊,類別,G,AB,H,HR,RBI,SB,AVG,OBP,SLG,OPS,備註
鄭宗哲,二壘手,統一獅,中職,4,9,3,1,2,4,.333,.571,.667,1.238,全隊OPS最高／4盜壘暫居大會盜壘王
費爾柴德,中外野手,Cleveland(MLB),旅外,4,12,3,2,6,3,.250,.438,.750,1.188,對捷克滿貫彈／對韓超前兩分砲
張育成,三壘手,味全龍,中職,4,15,6,1,5,0,.400,.438,.600,1.038,扛四棒／全隊最高打擊率／對韓砲轟柳賢振
林家正,捕手,自由球員(旅外),旅外,4,7,1,0,0,0,.143,.400,.286,.686,選球佳／單膝蹲捕代表／三振保送比1:1
陳傑憲,右外野手,統一獅,中職,2,1,0,0,0,0,.000,.667,.000,.667,隊長／首戰食指骨裂後僅2場代打／10局帶傷致勝
陳晨威,左外野手,樂天桃猿,中職,4,13,3,0,3,2,.231,.267,.308,.575,OPS全隊中職第二／3盜壘
吉力吉撈,指定打擊,味全龍,中職,4,9,1,0,0,0,.111,.333,.111,.444,選球佳但揮棒仰角過低
江坤宇,游擊手,中信兄弟,中職,4,12,2,0,2,1,.167,.231,.167,.398,守備核心／對韓十局觸擊送回致勝分
吳念庭,一壘手,旅外,旅外,4,11,2,0,0,0,.182,.182,.182,.364,
宋晟睿,右外野手,中信兄弟,中職,3,6,0,0,0,0,.000,.143,.000,.143,
林安可,外野手,西武獅(日職),旅外,4,15,1,0,0,0,.067,.067,.067,.134,被期待的長打者揮棒角度不佳找不到甜蜜點
蔣少宏,捕手,味全龍,中職,4,3,0,0,0,0,.000,.000,.000,.000,
林子偉,二壘手,旅外,旅外,1,3,0,0,0,0,.000,.000,.000,.000,
古林睿煬,投手,日職火腿,旅外,-,-,-,-,-,-,-,-,-,-,對韓飆出156.1公里全隊最快球
徐若熙,投手,日職軟銀,旅外,-,-,-,-,-,-,-,-,-,-,對澳洲先發53球最快153公里
林維恩,投手,MLB運動家,旅外,-,-,-,-,-,-,-,-,-,-,K%44.4%全隊最高(投手)
林昱珉,投手,MLB響尾蛇,旅外,-,-,-,-,-,-,-,-,-,-,台捷之戰中繼2.1局30球壓制打線
陳冠宇,投手,樂天桃猿,中職,-,-,-,-,-,-,-,-,-,-,效力國家隊20年／賽後宣布退役
