日期,類型,標題,情緒傾向,描述,資料來源
2026-03-05,比賽,中華 0-3 澳洲(敗),負面,首戰意外失利被完封／陳傑憲被觸身球擊中食指骨裂,WBC官方
2026-03-05,事件,陳傑憲左手食指骨裂,負面,首戰被觸身球擊中、左手食指骨裂、後續多場無法先發,報導者
2026-03-06,比賽,中華 0-13 日本(敗 7局提前結束),負面,被大谷翔平滿貫砲擊垮、Called Game,WBC官方
2026-03-07,比賽,中華 14-0 捷克(勝),正面,打線大爆發、單場8盜壘破WBC紀錄、費仔轟滿貫彈,WBC官方
2026-03-07,事件,費爾柴德滿貫砲,正面,對捷克轟出本屆首發滿貫全壘打,報導者
2026-03-08,比賽,中華 5-4 韓國(勝 10局延長),正面,20年來首勝韓國／鄭宗哲超前轟、費仔兩分砲、陳傑憲帶傷代跑致勝,WBC官方
2026-03-08,事件,張育成對柳賢振全壘打,正面,扛四棒砲轟大聯盟等級的柳賢振、台灣搶先得分,報導者
2026-03-08,事件,陳傑憲頭部滑壘致勝,正面,10局突破僵局制負傷代跑、用受傷的左手觸碰三壘、跑回致勝分,報導者
2026-03-08,事件,古林睿煬156.1公里火球,正面,對李政厚飆出本屆台灣最快球速,報導者
2026-03-09,事件,韓國 7-2 澳洲,負面,韓國以失分率較佳晉級、中華隊排名C組第四淘汰,WBC官方
2026-03-09,事件,陳冠宇宣布國家隊退役,中性,效力中華隊20年的資深左投宣布從國家隊退役,Instagram
2026-03-14,比賽,WBC八強賽開打,中性,中華隊未晉級,WBC官方
2026-03-17,比賽,WBC冠軍戰,中性,委內瑞拉3-2擊敗美國奪冠／Maikel Garcia獲MVP,WBC官方
